Grootteorde anomalie(ën);Anomalie(ën) gedetecteerd;Holte (m);Opgeruimd door firma;Opgeruimd tot op;Code;Bouwjaar;Afgedregde diepte (m);Afgedregd op;Easting;Northing;Wrak Type;Gevonden door;Gevonden op;Tonnenmaat bruto;Kroniek;Lengte (m);Breedte (m);Naam bevestigd;Beschermd als War Grave (GB);Materiaal;Diepte ondiepste punt (m, t.o.v. LAT);Recentste magnetometriemeting op;Recentste multibeammeting absolute hoogte (m);Recentste multibeammeting strekking (°);Recentste multibeammeting op;Recentste multibeammeting lengte (m);Recentste multibeammeting coördinaten ondiepste punt (lat-long);Recentste multibeammeting ondiepste punt (m, tov LAT);Recentste multibeammeting min. diepte omringende bodem (m, tov LAT);Recentste multibeammeting breedte (m);Recentste Berichten aan Zeevarenden;Recentste side scan sonarmeting strekking (°);Recentste side scan sonarmeting op;Recentste side scan sonarmeting lengte (m);Recentste side scan sonarmeting breedte (m);Recentste multibeammeting;Naam;Vlaggenstaat;Oude benamingen;Eigenaar;Beschermd als cultureel erfgoed onder water;Toestand;Geborgen op;Werf;Teken op kaart;Staat;Gezonken tijdens oorlogsdienst;Gezonken op;Type;Heeft Historische Beelden;Heeft Sounding Beelden;Heeft Pointcloud;
;;;;;BE-122-234-03;;;;470581.9;5692279.0;Wrak;;06/09/1993;;;;;Neen;Neen;;24.5;;;133.2;18/08/1995;12.5;;24.5;;11.7;;;06/09/1993;;;;onbekend;;;;;;;;24.5 Wk;Enkele fragmenten;;;;0.0;0.0;0.0;
;;;;;BE-141-232-01;;;;468086.3;5725959.5;Wrak;Braveheart Marine BV;07/08/2015;;;;;Neen;Neen;;35.2;;;26.6;07/08/2015;2.9;468086.95, 5725960.08;35.2;;1.3;;;;;;;onbekend;;;;;;;;geen;Enkele fragmenten;;;;0.0;1.0;1.0;
;;;;;BE-114-253-02;;;;491889.9;5676743.2;Wrak;;;;;;;Neen;Neen;Staal;4.8;;;;31/01/2024;;;4.8;;;;;;;;;onbekend;;Mogelijks betreft dit de resten van hetzelfde vaartuig als wrak BE_114_252_01.;;;;;;geen;Verzand, geen zichtbare resten;;;;0.0;1.0;0.0;
;;3.8;;;BE-120-245-01;1935.0;;23/08/1990;483256.0;5688234.2;Wrak;;;1350.0;"HMS Grafton lag op 29 mei 1940 ter hoogte van Duinkerke voor anker om soldaten aan boord te nemen. Rond 21 uur had het schip 580 manschappen aan boord genomen, en vertrok. Twee uur later kwamen ze het vaartuig Doggersbank tegen, die zich in moeilijkheden bevond, en nam aldaar nog 280 man over.
Rond 2u30 kwam Grafton in de buurt van de net getorpedeerde HMS Wakeful, en trachte ook daar, samen met enkele andere schepen, hulp te bieden. Het was hier dat zij, ter hoogte van het achterschip, geraakt werd door twee torpedo's afkomstig van onderzeeboot U-69. Er heerste zeer veel verwarring , waarbij de Britse schepen mekaar aanvielen (o.a. HMS Lydd doorsneed HMS Comfort). Pas toen bemanningsleden van de Comfort oversprongen op de Lydd, werd de fout ingezien, en een einde gebracht aan de slachtpartij. 
Om 4 uur kwam pakketboot SS Malines ter plaatse en nam het grootste deel van de manschappen aan boord van HMS Grafton over. Later kwamen ook 5 torpedobootjagers toe om de zwaargewonden over te nemen, en de HMS Grafton verder te 'helpen' zinken. 
Na dit voorval werd het alle torpedobootjagers verboden halt te houden om schepen in nood bij te staan. ";98.4;10.1;Ja;Ja;Staal;20.3;;2.2;142.5;22/01/2025;7.5;"483258;  5688232";20.3;22.5;3.6;1996 / 17-129;;;;;;HMS GRAFTON (H89) - schroefas;Verenigd Koninkrijk;nvt;Royal Navy, UK;;"Zone van ongeveer 12 bij 5 meter en ongeveer 2 meter hoog, bedekt met netten.
In het midden steekt een dikke, langwerpige buis met een lengte van 4,5 meter en diameter van 30 centimeter, hetwelk de schroefas van HMS Grafton betreft. 
Aan de zijkant van de zone kunnen twee uitstekende schroefbladen worden gezien.";;Thornycroft & Co. Ltd., Woolston, UK;21,5 Wk_;Enkele fragmenten;WO II;30/05/1940;Torpedobootjager;;;;
;;1.5;;;BE-110-237-01;1940.0;12.1;25/08/1978;473277.9;5668381.2;Wrak;;;135.0;De R-94 maakte deel uit de de 8. Räumboots-Flottile, en bevond zich op 6 september 1943 samen met de R-93, R-96, R-98, R-100, R-101, R-117 en R-118 op missie om een nieuw mijnenveld op te zoeken en op te ruimen. Om 23u15 ontploften twee mijnen kort na mekaar onder het achterschip van R-94. Bijna onmiddellijk na de ontploffing stroomde water binnen en maakte het schip slagzij. Door de snelheid van het gebeuren was het niet mogelijk het lek te dichten, noch om de geheime documenten aan boord te redden. ;37.8;5.8;Ja;Neen;Hout en aluminium;12.0;;2.5;77.0;24/07/2018;11.3;;12.0;14.5;4.5;1996 / 17-129;;;;;;räumboot R-94;Duitsland;;Kriegsmarine, DE;;Het wrak ligt volledig omgedraaid en het midscheepse deel steekt ongeveer 2m boven de bodem uit. De spanten zijn nog zichtbaar;;Abeking & Rasmussen, Lemwerder, DE;12,0 Wk_;Enkele fragmenten;WO I;06/09/1943;Mijnenveger;1.0;1.0;1.0;
;;;;;BE-121-228-01;;27.7;;463136.0;5690382.0;Wrak;;;30.0;;20.0;4.0;Neen;Neen;Hout;30.5;;-1.0;;;;;30.5;29.5;;;;;;;;onbekend;;;;;Het wrak is bijna volledig kapotgetrokken en verspreid op de zeebodem over een zone van ongeveer 30 op 10 meter. Het steekt nog maximaal 1 meter boven de zeebodem uit.;;;27,0 Wk_;Enkele fragmenten;;;Vissersboot;0.0;0.0;0.0;
;;2.7;;;BE-122-243-02;1917.0;17.5;13/12/1983;480696.9;5691989.2;Wrak;;;1100.0;"De Wakeful was één van de oudere Destroyers die waren ingezet om geallieerde soldaten uit Duinkerke weg te halen. 
Na enkele zeer succesvolle eerste dagen keerde in de nacht van 29 op 30 mei 1940 zijn geluk. 
Om 00u45 lag het ter hoogte van de Kwintebank, met 650 manschappen (allen benedendeks) aan boord. 
De kapitein en één van zijn uitkijken merkten in de duisternis de fosforescerende gloed op van 2 torpedosporen die richting stuurboord kwamen toegesneld. 
De eerste torpedo kon goed ontweken worden, maar de tweede ontplofte middenscheeps, ter hoogte van de tweede stookruimte. 
Het oude schip kwam bruusk tot stilstand en scheurde open. De twee delen kwamen verticaal zo'n twintigtal meter uit het water gerezen. 
Slechts 15 seconden na de impact was het schip vergaan. 
Enkele bemanningsleden en enkele soldaten overleefden het ongeval, meer dan 700 mannen haalden het niet. ";91.4;8.2;Ja;Ja;Staal;21.3;;2.7;48.9;06/11/2020;43.2;"480708.14; 5692000.38";21.3;24.0;13.1;2014 / 13-203;;;;;;HMS WAKEFUL (H88) - achterschip;Verenigd Koninkrijk;nvt;Royal Navy, UK;Cultureel erfgoed;Het wrak van de Wakeful is in zeer slechte staat.;;John Brown & Co. Ltd., Clydebank, UK;20 Wk;Gebroken;WO II;29/05/1940;Torpedobootjager;1.0;1.0;0.0;
;;10.6;;;BE-123-303-02;1943.0;3.5;26/04/1988;503511.0;5693402.0;Wrak;;;7276.0;"De Samsip was op 7 december 1944, in konvooi, onderweg van Antwerpen naar de Thames, toen het ter hoogte van boei NF 11 een mijn raakte.
Hierdoor ontstond brand. Het schip geraakte stuurloos en liep vast op een zandbank.
SS Samsip was verloren en werd met kanonvuur tot zinken gebracht. 
In de brand kwamen 7 opvarenden om het leven.";134.6;17.4;Ja;Neen;Staal;4.7;;6.8;78.7;20/05/2022;74.5;"503535; 5693399";4.7;11.5;19.3;1998 / 03-059;;;;;;SS SAMSIP -  achterschip;Verenigd Koninkrijk;SS EDWIN A. ROBINSON;Ministry of War Transport, London, UK;;;;Baltimore Drydock & Shipbuilding Co., Baltimore, US;4.7 Wk_;Gebroken;WO II;07/12/1944;Vrachtschip;1.0;1.0;1.0;
;;;;;BE-123-237-01;1942.0;22.0;10/02/1989;474049.9;5692504.9;Wrak;;;350.0;;58.5;9.4;Neen;Neen;Staal;23.2;;3.3;86.5;21/08/2015;20.7;;23.2;26.5;11.6;1997 / 05-069;;;;;;fragment achterschip LCT;Verenigd Koninkrijk;;Royal Navy, UK;;;;;22,5 Wk_;Gebroken;WO II;;LCT (Landing Craft, Tanks);0.0;1.0;1.0;
;;;;;BE-117-257-02;;;;497266.6;5682229.4;Wrak;;;;"Dit wrak betreft mogelijks de O.73 Renilde, dit is echter nog niet bewezen. De info gevonden onder ""geschiedenis"" is deze van de O.73. 

De O.73 verliet 's avonds de haven van Oostende om op garnaal te gaan vissen. Even later merkten de opvarenden dat er rook uit de machinekamer kwam. Het vliegwiel van de motor was reeds in het water aan het draaien.
De kapitein voer naar de dichtstbijzijnde boei, en beide opvarenden sprongen hierop over.
O.73 verging uiteindelijk op 50 meter van de boei. De oorzaak van het water laten zou het losdaveren van rotte rompplanken zijn geweest.
Het duurde nog tot 4u30 vooraleer schipper en matroos werden opgemerkt en gered werden door O.101.";;;Neen;Neen;Hout;6.1;;;;18/03/2024;;;6.1;7.1;;;;;;;;O.73 RENILDE;België;;Arthur Devaux, BE;;Verschillende brokstukken, dit is een oude dumpsite van Oostende, moeilijk te zien of het een wrak is of ander dumpmateriaal;;;geen;Verzand, geen zichtbare resten;Neen;26/05/1935;Vissersboot;;;;
;;;;;OB-120-240-01;;24.3;10/06/1992;477056.5;5687616.8;Wrak;;;;;;;Neen;Neen;;24.0;;1.0;118.3;17/07/2014;5.0;"477055.12; 5687617.38";24.0;25.0;2.0;1997 / 05-069;;;;;;markeringsboei;;;;;;;;23,5 Wk_;Intact, deels verzand;;;;0.0;1.0;1.0;
;;;;;BE-139-247-01;;;;485419.6;5723835.9;Wrak;;;;;;;Neen;Neen;Hout;21.3;;;;;;;21.3;;;;;;;;;onbekend;;;;;Af en toe zijn enkele spanten zichtbaar.;;;geen;Verzand, geen zichtbare resten;;;;0.0;0.0;0.0;
;;3.9;;;BE-109-239-03;1938.0;;;476099.5;5668116.2;Wrak;;;;Betreft de resten van een Duits vliegtuig, dewelke wijzen op een vliegtuig waar minstens twee bemanningsleden aanwezig moesten zijn, onder wie een boordschutter. Mogelijks een JU 87 die werd neergehaald door de Burza op 19 mei 1940. Een andere mogelijkheid (maar minder plausibel) is een ME 110 die op 12 april 1941 neerstortte en ontplofte bij inslag met het wateroppervlak. ;11.1;13.8;Neen;Neen;Aluminium;8.0;;;;19/02/2025;;;8.0;;;;;;;;;stuka JUNKERS 87;Duitsland;;Luftwaffe, DE;;Voornamelijk delen van een vleugel en van de cockpit. ;;Junkers, DE;geen;Geen zichtbare overblijfselen;WO II;;Vliegtuig - Bommenwerper;1.0;1.0;1.0;
;;3.8;;;BE-124-249-01;1935.0;16.2;15/06/1984;487368.0;5695113.0;Wrak;;;1350.0;"HMS Grafton lag op 29 mei 1940 ter hoogte van Duinkerke voor anker om soldaten aan boord te nemen. Rond 21 uur had het schip 580 manschappen aan boord genomen, en vertrok. Twee uur later kwamen ze het vaartuig Doggersbank tegen, die zich in moeilijkheden bevond, en nam aldaar nog 280 man over.
Rond 2u30 kwam Grafton in de buurt van de net getorpedeerde HMS Wakeful, en trachte ook daar, samen met enkele andere schepen, hulp te bieden. Het was hier dat zij, ter hoogte van het achterschip, geraakt werd door twee torpedo's afkomstig van onderzeeboot U-69. Er heerste zeer veel verwarring , waarbij de Britse schepen mekaar aanvielen (o.a. HMS Lydd doorsneed HMS Comfort). Pas toen bemanningsleden van de Comfort oversprongen op de Lydd, werd de fout ingezien, en een einde gebracht aan de slachtpartij. 
Om 4 uur kwam pakketboot SS Malines ter plaatse en nam het grootste deel van de manschappen aan boord van HMS Grafton over. Later kwamen ook 5 torpedobootjagers toe om de zwaargewonden over te nemen, en de HMS Grafton verder te 'helpen' zinken. 
Na dit voorval werd het alle torpedobootjagers verboden halt te houden om schepen in nood bij te staan. ";98.4;10.1;Ja;Ja;Staal;15.8;;3.5;63.0;04/03/2022;89.1;"487343; 5696091";15.8;19.3;24.2;1984 / 15-103;;;;;;HMS GRAFTON (H89);Verenigd Koninkrijk;nvt;Royal Navy, UK;;Grote opstaande en herkenbare delen zijn reeds lang ingestort.;;Thornycroft & Co. Ltd., Woolston, UK;15,8 Wk;Enkele fragmenten;WO II;30/05/1940;Torpedobootjager;;;;
;;;;;BE-112-251-01;1927.0;;;490398.8;5673341.1;Wrak;;;1734.0;"Dit wrak betreft mogelijks de N.706 De Drie Gebroeders, dit is echter nog niet bewezen. De info gevonden onder ""geschiedenis"" is deze van de N.706. 

Op 23 juni 1966 was de N.706 vroeg in de ochtend vertrokken om op garnaal te gaan vissen tussen Nieuwpoort en Middelkerke, toen om 6u30 de wind toenam tot een kracht van 8 Bft. De schipper besloot huiswaarts te keren, maar door het slingeren van het schip sloeg een deel van het net overboord en kwam in de schroef terecht.
De motor viel stil en het schip was volledig stuurloos. Er werd geprobeerd stranden te voorkomen, maar elke poging was tevergeefs en het schip werd ter hoogte van Raversijde op het strand geworpen. 
Door het opkomende getij waren alle sleeppogingen eveneens tevergeefs, en is het schip volledig stukgeslagen en vernield door de storm.";;;Neen;Neen;Hout;-1.5;;;;;;;-1.5;;;;;;;;;N.706 DE DRIE GEBROEDERS;België;29 MADELEINE, 25 MADELEINE, 12 DE DRIE GEBROEDERS, N.51 DE DRIE GEBROEDERS;Jacobus Legein, Oostende;;;;Delahaye, Oostende;zichtbaar wrak;Stukgeslagen;Neen;23/06/1966;Vissersboot;0.0;0.0;0.0;
;;7.9;;;BE-141-237-01;1951.0;;;473858.9;5727627.8;Wrak;;;5824.0;"Op 24 februari 1959 bevond MV Callisto zich op weg van Pepel (West-Afrika) naar Rotterdam. 
Het vrachtschip had een lading van 9600 ton ijzer aan boord.
In een dichte mistbank werd de Callisto geramd door het Liberiaanse vrachtschip SS Andros Steam, onder een hoek van 90°. 
De schade was groot. Toen de schepen uiteen voeren maakte de Callisto meteen veel water. Het duurde niet lang vooraleer de Callisto was vergaan.
De Andros Steam verdween even snel als het opgedoemd was.
De opvarenden konden door de Duitse Julia worden gered. 
";134.6;17.9;Ja;Neen;Staal;20.1;;;210.0;05/09/2016;145.8;;20.1;;32.4;;;;;;;MV CALLISTO;Nederland;nvt;NV Maatschappij Zeevaart, Rotterdam, NL;;Het midscheepse deel en achterschip van de Callisto staan rechtop, het voorschip is afgebroken en bevindt zich op bakboordzijde.;;Short Brothers Ltd., Sunderland, UK;geen;Scheepsvorm goed herkenbaar;Neen;24/02/1959;Vrachtschip;1.0;1.0;1.0;
;;3.7;;;BE-122-237-01;1915.0;22.0;04/11/1982;473573.0;5692333.6;Wrak;;;292.0;De UB-29 kwam waarschijnlijk na aanvaring met een mijn tot zinken.;36.1;4.4;Ja;Neen;Staal;22.5;;4.0;169.3;07/04/2015;30.8;"473570.27; 5692333.69";22.5;26.5;5.0;1996 / 17-129;;;;;;unterseeboot UB-29;Duitsland;nvt;Keizerlijk Marine, DE;Cultureel erfgoed;;;AG Weser, Bremen, DE;21,5 Wk_;Intact;WO I;13/12/1916;Duikboot;0.0;1.0;1.0;
;;;;;BE-150-232-01;;;;468108.9;5744232.6;Wrak;;;;;;;Neen;Neen;Staal;33.4;;;283.2;10/10/2018;98.2;"468063.97; 5744243.59";33.4;;15.0;;;;;;;onbekend;;;;;;;;30,5 Wk;Gebroken;;;;0.0;1.0;1.0;
;;;;;BE-122-312-05;1943.0;8.7;23/04/1993;514683.1;5691736.1;Wrak;;;2335.0;"Dit wrak betreft mogelijks de O.143 St. Jan, dit is echter nog niet bewezen. De info gevonden onder ""geschiedenis"" is deze van de O.143. 

De O.143 liep tegen een mijn en verging met alle opvarenden.";;;Neen;;;9.8;;0.1;134.1;14/03/2022;11.1;;9.8;10.5;2.0;1993 / 09-094;;;;;;O.143 ST. JAN;België;nvt;;;Dit wrak bestaat uit stalen en houten resten.;;P. Vinck, Boom, BE;8,7 Wk_;;;13/03/1945;;;;;
;;;;;BE-113-242-01;;;;479931.1;5674018.0;Wrak;O.82 SINT-ANTONIUS;07/06/1985;;;;;Neen;Neen;Hout;6.7;;;;19/02/2025;;;6.7;;;;;;;;;onbekend;;;;;;;;geen;Verzand, geen zichtbare resten;;;;0.0;1.0;0.0;
;;7.3;;;BE-123-228-01;1918.0;19.5;06/07/1984;463418.5;5692827.3;Wrak;;;3202.0;"De SS Laura kwam in aanvaring met de SS Lorenzo van de Ellerman Bucknell Steamship Company. 
SS Laura verging kort hierna.";91.0;14.0;Ja;Neen;Staal;13.0;;18.3;22.5;21/03/2024;94.0;463434   5692870;13.0;31.3;23.8;1997 / 05-069;;;;;;SS LAURA;Nederland;SS WAR STORM;Holland-Gulf Stoomvaartmaatschappij NV, Rotterdam, NL;;;;Wallace Shipbuilding & Drydock Co. Ltd., Vancouver, CA;13 Wk;Scheepsvorm goed herkenbaar;Neen;13/12/1924;Vrachtschip;;;;
;;;;;BE-110-237-05;;;;474133.2;5669897.0;Wrak;;;;Vermoedelijk de overblijfselen van een laat-17e-eeuws of begin-18e-eeuws zeilschip. Dit door de aanwezigheid van enkele zware houten balken en kanonskogels.;;;Neen;Neen;Hout;3.7;;;;14/02/2025;;;;3.7;;;;;;;;onbekend;;;;;niets meer te zien;;;geen;Geen zichtbare overblijfselen;;;;;;;
