Grootteorde anomalie(ën);Anomalie(ën) gedetecteerd;Holte (m);Opgeruimd door firma;Opgeruimd tot op;Code;Bouwjaar;Afgedregde diepte (m);Afgedregd op;Easting;Northing;Wrak Type;Gevonden door;Gevonden op;Tonnenmaat bruto;Kroniek;Lengte (m);Breedte (m);Naam bevestigd;Beschermd als War Grave (GB);Materiaal;Diepte ondiepste punt (m, t.o.v. LAT);Recentste magnetometriemeting op;Recentste multibeammeting absolute hoogte (m);Recentste multibeammeting strekking (°);Recentste multibeammeting op;Recentste multibeammeting lengte (m);Recentste multibeammeting coördinaten ondiepste punt (lat-long);Recentste multibeammeting ondiepste punt (m, tov LAT);Recentste multibeammeting min. diepte omringende bodem (m, tov LAT);Recentste multibeammeting breedte (m);Recentste Berichten aan Zeevarenden;Recentste side scan sonarmeting strekking (°);Recentste side scan sonarmeting op;Recentste side scan sonarmeting lengte (m);Recentste side scan sonarmeting breedte (m);Recentste multibeammeting;Naam;Vlaggenstaat;Oude benamingen;Eigenaar;Beschermd als cultureel erfgoed onder water;Toestand;Geborgen op;Werf;Teken op kaart;Staat;Gezonken tijdens oorlogsdienst;Gezonken op;Type;Heeft Historische Beelden;Heeft Sounding Beelden;Heeft Pointcloud;
;;3.3;;;BE-117-249-01;1940.0;7.3;29/08/1985;487938.8;5682633.1;Wrak;;;465.0;"Vanaf 1 april 1943 maakte sperrbrecher 141 deel uit van de 36. Minensuch-flotille, en bleef sindsdien in het gebied Oostende-Duinkerke.
Op 31 maart 1944, om 02u59, raakte sperrbrecher 141 een mijn in de Grote Rede van Oostende en verging. ";51.0;8.0;Ja;Neen;Staal;8.8;;2.0;266.1;08/08/2025;37.3;487924  5682633;8.8;10.7;5.2;1996 / 17-129;;;;;;sperrbrecher 141;Duitsland;NS.I, MV LIES;Kriegsmarine, DE;Geen cultureel erfgoed;;;Werf De Noord, Alblasserdam, NL;8,8 Wk_;Intact;WO II;31/03/1944;Mijnenveger;;;;
;;;;;BE-113-252-02;1918.0;;;491708.0;5675444.0;Wrak;TER STREEP (VH);06/06/2003;37.0;"Aan het einde van Wereldoorlog I bleef er een grote dreiging van achtergelaten zeemijnen. Op 21 oktober 1918 was HM ML 561 samen met andere kanonneerboten in het gebied tussen het Kursaal van Oostende en de renbaan op zoek naar drijvende mijnen. 
De schepen voeren in paralelle lijnen, met op elke boeg de beste schutter om een drijvende mijn te doorzeven met kogels en te doen zinken. 
Een zware ontploffing onder de romp van HM ML 561 deed het voorschip afbreken. Het schip werd nog op sleep genomen, maar verging uiteindelijk.";26.6;4.2;Ja;Neen;Hout;6.6;;0.7;249.8;31/01/2024;15.3;"491709; 5675444";6.6;7.3;5.0;2003 / 15-137;;;;;;HM Motor Launch 561;Verenigd Koninkrijk;nvt;Royal Navy, UK;Cultureel erfgoed onder beschermingsmaatregelen;;;Elco-werf, Bayonne, New Jersey, USA;5,9 Wk;Enkele fragmenten;WO I;21/10/1918;Kanonneerboot;;;;
;;3.0;;;BE-119-301-02;1937.0;3.5;12/11/1984;502079.9;5685227.7;Wrak;;;16272.0;"M-3606 werd, vlak voor het Oostendse havenhoofd, op 29 augustus 1942 getroffen door een vliegtuigbom. In de namiddag reeds werd het gelicht, waarna het hersteld werd en weer in dienst kwam als patrouilleschip.
Op 17 september 1943 verging het schip definitief na aanvaring met een mijn.

Het verhaal van minensuchboote M-3600, M-3604 en M-3606:
Op 17 september 1943, omstreeks 20 uur, verlieten M3607, M-3601, M-3604, M-3605 en M-3606 de haven van Oostende richting Zeebrugge. Ze zouden M-3600, M-3620, KFK3669 en HS FN 09 komende van Vlissingen tegemoet gaan en verder begeleiden naar Oostende.
Ter hoogte van de Wenduinebank deden zich twee zware mijnontploffingen voor onder M-3604. Deze verdween onmiddellijk onder water. M-3601 en M-3605 kwamen ter plaatse om bemanningsleden uit het water te helpen. De andere minensuchboote zetten de rubberboten uit om iets meer vanop afstand te kunnen helpen.
Om 22u42 volgde een ontploffing op M-3606, op 50 meter van waar M-3604 was vergaan. 
Niet veel later naderde de vloot vanuit Vlissingen de site. M-3601 probeerde hen met lichtsignalen te waarschuwen voor het mijnenveld. Voor de koptrekker kwamen de waarschuwingen te laat... M-3600 voer om 23u05 tegen een mijn en verging onmiddellijk op ongeveer 500 meter van M-3606.
In totaal vielen 9 doden, 18 gewonden, en 10 personen werden vermist. ";33.0;6.8;Ja;Neen;Staal;4.6;;1.0;13.0;07/03/2024;32.1;502085     5685242;4.6;5.6;7.6;1997 / 05-069;;;;;;minensuchboot M-3606;Duitsland;OCEAAN VI (SCH 121);Kriegsmarine, DE;;;;A. Vuijk & Zonen, Capelle aan den IJsel, NL;4,6 Wk_;Enkele fragmenten;WO II;17/09/1943;Mijnenveger;;;;
;;2.6;;;BE-111-240-01;1931.0;;;476827.7;5670239.9;Wrak;;;160.0;"In 1940 werd de Nederlandse stoomsleepboot Keullsche Vaart IV door de Duitsers buitgemaakt. Het schip werd omgebouwd en klaargemaakt voor de geplande Duitse invasie van Engeland, operatie Seelöwe, en hernoemt naar R 30S. 
De invasieplannen bleven uit, en het schip bleef vanaf 19 juli 1941 aan de Belgische Kust als Hafenschutzboot onder de naam RO 3S.
De RO 3S verging op 18 februari 1943 na een aanvaring voor Nieuwpoort.";26.0;5.5;Ja;Neen;Staal;8.5;;3.9;355.0;19/02/2025;26.6;476827   5670241;8.5;12.4;6.7;1997 / 05-069;;;;;;hafenschutzboot RO 3S;Duitsland;KEULLSCHE VAART IV;Kriegsmarine, DE;;"Bij duikersonderzoek door TV Bergingswerken in 1988 werd duidelijk dat het gaat om een bewapende sleepboot met dieptebommen op het dek. Volgens de duiker GA werd de bouwplaat gevonden met als opschrift ""KEULSE VAART IV "". 
Deze sleepboot staat recht op de bodem, is grotendeels intact maar in slechte staat.";;Arnhemse Stoomsleephelling Maatschappij, Rotterdam, NL;8 Wk_;Intact;WO II;18/02/1943;Sleepboot;;;;
;;1.5;;;BE-117-256-01;1942.0;;;495887.8;5681921.1;Wrak;;;953.0;"De O.76 was op garnaal aan het vissen toen benedendeks brand uitbrak. De schipper van O.628 merkte dit op, kon de opvarenden overnemen, en nam O.76 op sleep richting Oostende. 
Op 3 mijl van Oostende zonk O.76 plots. Het sleeptouw kon net op tijd worden doorgehakt.";10.5;3.4;Ja;Neen;Hout;7.4;;;;19/03/2024;;;7.4;7.4;;1957 / 16-091;;;;;;O.76 NOORDSTER;België;O.76 ANNIE-ALBERT, O.76 PASCAL;Germaine Goderis, Oostende, BE;;;;Van Dycke, Koolkerke, BE;geen;Verzand, geen zichtbare resten;Neen;25/07/1956;Vissersboot;;;;
;;1.5;Tijdelijke Vereniging voor Bergingswerken;bodem;BE-124-300-01;1943.0;;;500911.7;5695636.0;Wrak;;;102.0;"Dit wrak betreft mogelijks MTB 690, dit is echter nog niet bewezen. De info gevonden onder ""geschiedenis"" is deze van de HM MTB 690. 

MTB 690 ging verloren toen het op 18 januari 1945, om 15u08, tegen een mijn voer. 
De houten romp scheurde bij de ontploffing.
Alle opvarenden overleefden het ongeval.";33.0;6.5;Neen;Neen;Hout en aluminium;17.2;;;;30/04/2024;;;;17.2;;1971 / 22-145;;;;;;HM MTB 690;Verenigd Koninkrijk;;Royal Navy, UK;;;01/11/1987;Boat Construction Co. Ltd., Falmouth, UK;#;Verzand, geen zichtbare resten;WO II;18/01/1945;Torpedoboot;;;;
;;;;;BE-108-232-02;;;;467851.0;5665029.0;Wrak;;;;Dit betreft het wrak van een gewapende Franse treiler. Het zou kunnen gaan om de Emile Deschamps, de Ste-Isabelle, de Yvonne et Moabe, de Joseph Marie, of La Majo. ;;;Neen;Neen;Hout;12.0;;2.6;241.4;20/02/2025;19.7;467851   5665029;12.0;14.6;7.2;;;;;;;onbekend;Frankrijk;;Marine Nationale, FR;;;;;#;;WO II;;Treiler;;;;
;;1.5;;;BE-113-238-01;1915.0;10.0;18/02/1994;474434.9;5675606.1;Wrak;;;137.0;"Op 20 maart 1918 maakten twee groepen van acht torpedoboten zich klaar om operatiebevel 45 van het Commando der Torpedoboten uit te voeren. Hierbij zouden de schepen, vertrekkende vanuit Zeebrugge, het station en de spoorverbindingen van Duinkerke, De Panne en Bay-Dunes beschieten vanop zee. A19 echter, zou samen met de A4, A9 en A7 zorgen voor de nodige lichtsignalen en dekking voor de vloot bij terugkeer. A19 stelde zich samen met A7 op ten noordoosten van de Smalbank. Na de bombardementen, waarop al snel antwoord volgde van Franse kustbatterijen en Britse schepen, werd de vlucht ingezet. A19 en A7 werden niet ingelicht van de gebeurtenissen. 
De Britten hadden gezien dat de Duitse schepen herkenningssignalen flitsten naar de wachtende torpedoboten, opdat ze hen zouden volgen. De vier schepen van A1-klasse hadden ondertussen koers gezet naar Oostende. Even nadien ramde de Britse HMS Botha de kleinere A19 midscheeps. De impact leek klein, maar het tegendeel werd duidelijk toen de boeg van A19 aan bakboord dreef, en het achterschip aan stuurboord.
De boeg draaide om en zonk onmiddellijk, het achterschip zonk op bakboordzijde. ";41.6;4.6;Neen;;;12.1;;;0.0;14/03/2022;0.0;;;;0.0;1996 / 17-129;;;;;;torpedoboot A19 - achterschip;Duitsland;nvt;Keizerlijke marine, DE;Cultureel erfgoed onder beschermingsmaatregelen;;;AG Vulcan, Hamburg, DE;8.7 Wk_;Geen zichtbare overblijfselen;;21/03/1918;;;;;
;;;;;BE-118-247-01;;14.0;09/11/1995;485588.8;5684833.1;Wrak;;;;"De Apache bevond zich op 21 juli 1995 in het Uitdiep voor anker. De eigenaar wou een mooie avond op zee, vanwaar hij het vuurwerk aan de kust zou kunnen bekijken. Bij het aansteken van de barbecue liep het mis. Het vuur sprong over naar het achterschip.
Beide opvarenden konden worden gered.";12.8;3.7;Ja;Neen;Polyester;15.4;;0.8;284.0;09/11/1995;3.8;;15.4;16.2;1.3;1995 / 24-157;;;;;;APACHE;België;;Jan Vandewalle, Oostende, BE;;;;;13,9 Wk_;Verzand, geen zichtbare resten;Neen;21/07/1995;Zeiljacht;1.0;1.0;1.0;
;;;;;OB-114-231-01;;;;466592.8;5677512.8;Wrak;N.95 Luk Louwagie;;;;;;Neen;Neen;;4.4;;;;14/03/2022;0.0;;4.4;;0.0;;;;;;;opstapeling materiaal en ankers;;;;;Opstapeling materiaal. Verschillende driearmige gesmede ijzeren ankers bleven in de netten hangen. Mogelijks gaat het hier om een ankerpunt voor sloepen die bergingsactiviteiten uitvoerden op het Buitenratelwrak.;;;geen;;;;;0.0;0.0;0.0;
;;;;;BE-127-312-01;1930.0;;;514574.6;5700631.0;Wrak;;;2951.0;"Dit wrak betreft mogelijks de Z.487 Maddy, dit is echter nog niet bewezen. De info gevonden onder ""geschiedenis"" is deze van de Z.487. 

Op 4 februari 1951 is de Z.487 gezonken door een lek dat niet gevonden werd.
Een sleep werd opgezet, maar werd door de zware zee te gevaarlijk.";;;Neen;Neen;Hout;6.1;;;;05/05/2023;;;6.1;;;1994 / 19-126;;;;;;Z.487 MADDY;België;56 O.L. VROUW VAN DEN ROZENKRANS, 10 MADDY, Z.57 MADDY;Joseph Dobbelaere, Heist, BE;;;;R. Panesi, Oostende, BE;#;Verzand, geen zichtbare resten;Neen;04/02/1951;Vissersboot;;;;
;;;Schauvliege;;BE-113-253-01;1915.0;;;492923.8;5675590.6;Wrak;;;540.0;"Twee zware ontploffingen vernielden het voorschip. De motoren werden gestopt en de bemanning begaf zich naar het achterschip, dat ondanks het gezonken voorschip bleef drijven. Het schip werd gestrand met het achterschip eerst, zo'n kleine mijl van de westelijke pier van Oostende in een waterdiepte van 6m. 
Tegen 21uur werd duidelijk dat ook de achterste compartimenten aan het vollopen waren waarop het schip volledig werd ontruimd. HM M21 verging met een helling over stuurboord, en was de dag nadien reeds volledig omgedraaid. ";56.6;10.3;Ja;Neen;Staal;4.8;;;;26/02/2025;;;;4.8;;;;;;;;HM Monitor 21;Verenigd Koninkrijk;nvt;Royal Navy, UK;;In mei 1921 gaf de Belgische Hydrografie opdracht aan de heer Schauvliege om het wrak volledig te bergen. Er was een put met redelijke afmetingen overgebleven, met daarin een obstructie die later verzand is. In 1924 echter kwam er een klacht van een visser;01/05/1921;Middlesborough, UK;geen;Verzand, geen zichtbare resten;WO I;20/10/1918;Monitor;1.0;1.0;0.0;
;;;;;BE-112-233-01;1934.0;9.9;14/06/1989;468897.0;5673462.0;Wrak;;;4844.0;Op 31 mei 1940, laat op de avond, werd de HMS St. Achilleus ter hoogte van de Buitenratel getorpedeerd door een Duitse Schnellboot. ;54.8;;Ja;Neen;Staal;10.0;;5.0;214.1;14/03/2022;58.3;"468900; 5673471";10.0;15.0;14.2;;;;;;;HMS ST. ACHILLEUS;Verenigd Koninkrijk;FV ST. ACHILLEUS;Royal Navy, UK;;"Het wrak ligt op stuurboordzijde en is grotendeels intact. 
Tijdens duikonderzoek in 1990 werden naast het wrak vaten teruggevonden die depthchargers zouden kunnen zijn. Door de verzanding en mogelijkheid tot ontploffing werd dit niet verder onderzocht. ";;Cook, Welton & Gemmill, Beverly, Hull, UK;9,7 Wk_;Intact;WO II;31/05/1940;Treiler;1.0;1.0;1.0;
;;9.8;;;BE-122-254-01;1921.0;15.0;;493642.5;5691295.7;Wrak;;;6062.0;"De SS Nashaba voer in konvooi met 12 andere schepen, en was onderweg van Cardiff naar Terneuzen en Gent. Er waren 42 bemanningsleden en 27 bewapende wachten aan boord.
Op 26 februari was er een zware zeegang en windkracht 8. Er was een grote afstand tussen de schepen en het konvooi dreigde uiteen te vallen.
Om 9u20 raakte de SS Auretta als eerste een mijn, en verging. Om 9u55 had ook de SS Nashaba een mijn geraakt. Het schip verging bijna onmiddellijk. 
Eén matroos liet het leven. De andere opvarenden konden gered worden door HMS Scalpay. 
Het mijnenveld waarin het konvooi terecht gekomen was, was waarschijnlijk de nacht voordien uitgezet.";122.5;16.2;Ja;Neen;Staal;14.9;;1.2;306.0;02/05/2024;90.8;493636  5691284;14.9;16.1;28.4;1996 / 17-129;;;;;;SS NASHABA;Verenigde Staten;nvt;Lykes Bros. Steamship Co. Inc., Tampa, US;;;;Pacific Coast Shipbuilding Co., Bay Point, US;14,9 Wk_;Enkele fragmenten;WO II;26/02/1945;Vrachtschip;;;;
;;;;;BE-112-248-01;1927.0;;;486499.9;5672888.2;Wrak;TER STREEP (VH);;533.0;"Het voormalige sleepschip Corma werd op 6 juli 1940 gevorderd door de Duitsers en omgebouwd tot Landungsprahm C343P (C voor thuishaven Calais). Dit was 1 van de vele schepen die werden omgebouwd voor de geplande invasie van Engeland, operatie Seelöwe. 
Op 14 augustus was de C343P op weg van Oostende naar Duinkerke, in konvooi bij de 3. Schleppgruppe.
Ter hoogte van vaarwatertonnen 10W en 9W raakte het een mijn en verging. ";50.0;6.6;Ja;Neen;Staal;8.1;;1.3;86.9;16/02/2024;52.9;486477.7    5672887.6;8.1;9.4;12.7;2003 / 15-137;;;;;;landungsprahm C343P;Duitsland;CORMA;Kriegsmarine, DE;;;;Gebroeders Boot, Leiden, NL;7,5 Wk;Plat maar samenhangend op zeebodem;WO II;14/08/1940;Sleepboot;;;;
;;;;;BE-113-244-02;;;;481823.5;5675573.5;Wrak;;;;;;;Neen;Neen;Staal;6.1;;;;19/02/2025;;;6.1;;;;;;;;;onbekend;;;;;Betreft enkele staalplaten die waarschijnlijk afkomstig zijn van een geborgen wrak. ;;;geen;Verzand, geen zichtbare resten;;;;0.0;1.0;0.0;
;;;;;BE-138-229-01;;;;464628.5;5721479.0;Wrak;;;;;;;Neen;Neen;;32.9;;;55.4;28/09/2017;13.3;"464628.37; 5721478.26";32.9;;3.4;;;;;;;onbekend;;;;;;;;geen;;;;;0.0;1.0;0.0;
;;;;;BE-116-259-01;;;;498878.1;5680516.1;Wrak;;;;;;;Neen;Neen;Staal;5.3;;;;18/03/2024;;;5.3;5.5;;;;;;;;onbekend;;;;;Waarschijnlijk zelfde wrak als 116-258.;;;geen;Verzand, geen zichtbare resten;;;;;;;
;;3.4;Van Gastel NV;bodem;BE-121-312-02;1916.0;;;514992.0;5690190.0;Wrak;;;1042.0;"Samen met HMS Phoebe moest HMS North Star patrouilleren bij de muur van Zeebrugge om eventuele aanvallen van Duitse torpedoboten af te slaan. 
Door een fout van de stuurman voer HMS North Star buiten het beschermende rookgordijn, vlak aan de ingang van de haven. De kustbatterijen merkten dit op en namen het schip onder vuur. Om 1u25 in de ochtend van 24 april werd HMS North Star geraakt in de machinekamer en de ketelruimtes, waardoor het tot stilstand kwam op 400m van de kop van de havendam. 
HMS Phoebe kwam dichterbij, wierp een rookgordijn op en trachtte HMS North Star op sleep te nemen. Het duurde niet lang vooraleer de sleep brak, en bij het verdwijnen van het rookgordijn werd ook HMS Phoebe onder vuur genomen. 
Het risico om beide schepen te verliezen werd te groot. HMS North Star werd verlaten waarbij de meeste opvarenden konden worden overgenomen door HMS Phoebe. Deze laatste stuurde nog een torpedo in de romp van HMS North Star om deze sneller te laten zinken. ";92.0;9.0;Ja;Neen;Staal;5.6;;;214.0;25/03/2022;60.3;"514981; 5690176";5.6;;9.9;1980 / 23-126;;;;;;HMS NORTH STAR;Verenigd Koninkrijk;;Royal Navy, UK;;nog enkele fragmenten zichtbaar;26/03/1956;Palmer & Company, Hepburn on Tyne, UK;#;Geborgen;WO I;24/04/1918;Torpedobootjager;;;;
;;;;;BE-109-237-01;;;;473896.8;5666942.6;Wrak;;;;;;;Neen;Neen;;6.9;;;;20/02/2025;;;6.9;;;;;;;;;onbekend;;;;;Kleine concentratie metaal onder de zeebodem gedetecteerd.;;;geen;Verzand, geen zichtbare resten;;;;0.0;1.0;0.0;
;;2.7;Tijdelijke Vereniging voor Bergingswerken;bodem;BE-124-305-01;1909.0;17.5;24/10/1982;506805.7;5694343.0;Wrak;;;1035.0;"De Maori zonk in 1915 na te zijn beschoten door de kustbatterijen.
Het schip kon geïdentificeerd worden toen bij de bergingswerken de stuurboordschroef met naam gevonden werd. Deze schroef staat samen met het reserveanker in de inkomsthal van het Zeewezen te Oostende.";93.0;8.8;Ja;Neen;Staal;17.1;;;;30/04/2024;;;;17.7;;1982 / 22-139;;;;;;HMS MAORI;Verenigd Koninkrijk;;Royal Navy, UK;;;01/01/1982;William Denny & Brothers Ltd., Dumbarton, UK;#;Geborgen;WO I;07/05/1915;Torpedobootjager;;;;
;;;;;BE-141-229-01;;;;464773.5;5727511.6;Wrak;;;;;;;Neen;Neen;;33.9;;;;28/09/2017;;;33.9;;;;;;;;;onbekend;;;;;;;;geen;Verzand, geen zichtbare resten;;;;0.0;1.0;1.0;
;;;;;BE-126-306-01;;;;507685.7;5698199.0;Wrak;;;;;;;Neen;Neen;;8.0;;;;28/03/2022;;;8.0;;;1996 / 25-165;;;;;;onbekend;;;;;;;;6,0 Wk;Enkele fragmenten;;;;;;;
;;;;;BE-121-312-01;1916.0;;;514413.6;5689293.0;Wrak;;;37.0;"HM Motor Launch 110 maakte deel uit van de aanvalsvloot van blokkadeschepen op de haven van Zeebrugge op 23 april 1918. 
Zijn opdracht was om HMS Vindictive naar de havenmuur te volgen en na het zinken van blokschepen HMS Thetis en HMS Intrepid hun bemanning te gaan ophalen. 
Toen hij buiten de bescherming van de buitenmuur kwam, werd het schip onder vuur genomen door de Duitse kustbatterijen. ";28.6;4.0;Ja;Neen;Hout;10.0;;;;25/03/2022;0.0;;10.0;;0.0;1955 / 17-079;;;;;;HM Motor Launch 110;Verenigd Koninkrijk;;Royal Navy, UK;;Dit kleine wrak werd samen met de SS Elephteria geruimd in 1954. ;;Elco, Bayonne, New Jersey, US;#;Geborgen;WO I;23/04/1918;Kanonneerboot;0.0;1.0;0.0;
;;;;;BE-121-238-02;;;;475218.0;5690607.0;Wrak;;16/03/2015;;;;;Neen;Neen;;25.4;;0.6;124.9;16/03/2015;12.7;;25.4;26.0;6.2;2015.0;;;;;;onbekend;;;;;;;;geen;Enkele fragmenten;;;;0.0;1.0;0.0;
;;3.1;;;BE-120-252-01;1910.0;8.8;30/09/1992;490797.0;5687918.0;Wrak;;;611.0;"De U-11 was één van de eerste onderzeeboten die aankwamen in het bezette Vlaanderen. 
Op 9 december 1914 verliet het de haven van Zeebrugge voor een patrouille in het gebied Dover-Calais, om benoorden de Oostendebank op een nieuw gelegd Brits mijnenveld te botsen. Er werd van de U-11 en de 26 opvarenden niets meer gehoord. ";57.4;6.0;Ja;Neen;Staal;8.8;;2.5;43.1;19/07/2022;57.8;"490802; 5687920";8.8;11.3;8.5;1996 / 17-129;;;;;;unterseeboot U-11;Duitsland;;Keizerlijke marine, DE;Cultureel erfgoed onder beschermingsmaatregelen;"Het wrak ligt rechtop en steekt nog ongeveer 3 meter boven de bodem uit. 
De toren is grotendeels van het schip getrokken, en ligt op zijn zijde. ";;Kaiserliche Werft, Danzig, DE (nu Gdansk, PL);8,7 Wk_;Intact, deels verzand;WO I;09/12/1914;Duikboot;;;;
;;;;;OB-118-231-01;;;;466527.0;5683815.3;Wrak;;;;;;;Neen;Neen;;26.5;;;;;;;26.5;;;;;;;;;stenen;;;;;Het betreft hier een natuurlijke verzameling van granieten stenen, met lengtes van 0,5 tot 2 meter.;;;geen;;;;;0.0;0.0;0.0;
;;3.0;;;BE-133-251-01;1915.0;;;490354.8;5711262.9;Wrak;;;142.0;"UB-13 was een typische, kleine kustpatrouille-onderzeeboot. 
Tussen de indienststelling op 6 april 1915 en zijn ondergang kon het 35 operaties uitvoeren.
Op 23 april 1916 verliet de UB-13 de haven van Zeebrugge voor zijn 36e operatie in gezelschap van UB-6, UB-10 en UB-12. Ze zouden gedurende een week de scheepvaart ter hoogte van Southwold aan de Britse oostkust aanvallen. 
Op 24 april is de UB-13 verstrikt geraakt in de sleepkabel van de Britse drifter Gleaner of the Sea. Door de manoeuvres om vrij te komen raakte de onderzeeboot een mijn. 
Een patrouillerend vliegtuig dat alles zag gebeuren dropte nog een bom op de plaats waar wrakstukken en olie aan de oppervlakte kwamen. HMS Afridi kwam ook ter plaatse en veegde te site met een explosieve paravaan. ";28.1;3.2;Ja;Neen;Staal;29.8;;0.6;;19/01/2001;;"490354.00; 5711266.00";29.8;30.4;;1996 / 24-160;;;;;;unterseeboot UB-13;Duitsland;nvt;Keizerlijke Marine, DE;Cultureel erfgoed onder beschermingsmaatregelen;De overblijfselen bestaan uit enkel de cilindervormige romp en enkele kleine stukken plaat. ;;AG Weser, Bremen, DE;27,0 Wk;Scheepsvorm goed herkenbaar;WO I;25/04/1916;Duikboot;1.0;0.0;0.0;
;;;;;BE-114-255-04;;;;494631.9;5677225.2;Wrak;Flansea-project;26/02/2013;;;;;Neen;Neen;Hout;4.4;;3.2;325.0;27/03/2025;50.8;494625   5677226;4.4;7.6;11.5;2015 / 07-094;;;;;;onbekend;;;;Cultureel erfgoed onder beschermingsmaatregelen;duidelijk een structuur van een houten schip te zien;;;4.4 Wk;Intact;;;;;;;
;;4.0;Tijdelijke Vereniging van Bergingswerken;bodem;BE-114-242-01;1938.0;;13/11/1990;479291.9;5677519.1;Wrak;;;257.0;"De Aloha, van baron de Launoit uit Luik, werd in 1939 gebruikt op de Internationale Watertentoonstelling en kreeg bezoek van onder andere Leopold III. 
In 1940 werd het schip opgeëist voor het Belgische Marinekorps. Iets na middernacht op 21 mei 1940 verliet het de haven van Oostende om voor anker te gaan liggen aan de Middelkerkebank, wegens dreiging van Duitse luchtaanvallen. Er zouden ook een onbekend aantal burgers aan boord geweest zijn. 
Na het vertrek werd niets meer van de Aloha of zijn opvarenden vernomen. 
Later bleek dat het jacht tegen een mijn was gevaren. ";38.5;7.0;Ja;Neen;Staal;10.2;;0.2;78.2;14/02/2025;2.9;479277   5677558;10.2;10.4;1.8;1990 / 24-140;;;;;;MV ALOHA;België;nvt;Belgische Marine;;;;John Cockerill, Antwerpen, BE;#;Geborgen;WO II;21/05/1940;Motorjacht;;;;
;;;;;BE-120-305-01;1922.0;;;506176.7;5687021.1;Wrak;;;1811.0;"Dit wrak betreft mogelijks de O.74 Yvonne, dit is echter nog niet bewezen. De info gevonden onder ""geschiedenis"" is deze van de O.74. 

Op 18 februari 1952 viste samen met O.9 op sprot. 
Rond 14 uur voer O.9 met volle kracht in westelijke richting om het net te schieten. O.74 zou over bakboord rond gaan, dicht bij O.9 komen en één van de korrentouwen overnemen. Bij dat manoeuvre haperde de roerketting waardoor O.74 recht voor de steven van O.9 kwam. Op deze manier kwamen zij in aanvaring. 
O.74 liep grote schade op ter hoogte van het achterschip, en verging binnen de vijf minuten. 
De drie opvarenden konden overspringen naar O.9.";;;Neen;Neen;Hout;5.6;;0.2;58.6;07/03/2024;11.0;506334    5687009;5.6;5.8;3.1;1957 / 25-139;;;;;;O.74 YVONNE;België;O.90 TOEKOMST, O.74 TOEKOMST, O.74 DE TOEKOMST, O.74 YVONNE;Albert Deckmyn, Oostende, BE;;;;;#;Enkele fragmenten;Neen;18/02/1952;Vissersboot;;;;
;;;;;BE-122-229-01;1943.0;22.0;31/01/1987;464333.0;5691741.0;Wrak;;;484.0;"De gewapende tanker Y-17 zonk na aanvaring met een mijn.
18 opvarenden verloren het leven.";49.4;8.0;Neen;Neen;Staal;23.0;;7.4;45.6;21/03/2024;55.3;464331   5691739;23.2;30.6;13.2;1996 / 17-129;;;;;;USAT Y-17;Verenigde Staten;SS FULLERTON ROSE;U.S. Army Transport Service, US;;Ter hoogte van het eerste luik is het schip in twee gescheurd. Het achterschip ligt op bakboordzijde en is redelijk intact. De boeg bevindt zich op ongeveer 15 meter van het achterschip en ligt op stuurboordzijde.;;Levington Shipbuilding Co., Orange, Texas, US;19 Wk_;Gebroken;WO II;09/04/1945;Tanker;;;;
;;2.8;;;BE-122-316-01;1940.0;4.0;13/11/1984;518883.6;5691501.0;Wrak;;;;"Dit wrak betreft mogelijks minensuchboot M-3240, dit is echter nog niet bewezen. De info gevonden onder ""geschiedenis"" is deze van de M-3240. 

Op 17 juni 1944 raakte de M-3240 om 4u15 een mijn en verging.
Twee bemanningsleden verloren hierbij het leven.";24.0;6.4;Neen;Neen;Hout;4.4;;1.8;77.4;23/02/2023;33.0;"518885; 5691514";4.4;6.2;30.0;1984 / 26-135;;;;;;minensuchboot M-3240;Duitsland;KFK 273;Kriegsmarine, DE;;;;Burmester KG, Swinemünde, DE;3,9 Wk_;Verspreid;WO II;17/06/1944;Mijnenveger;;;;
;;1.5;;;BE-115-243-01;1915.0;;;481063.2;5677659.5;Wrak;;;137.0;"Dit wrak betreft mogelijks torpedoboot A-15, dit is echter nog niet bewezen. De info gevonden onder ""geschiedenis"" is deze van de A-15. 

De A-15 was op patrouille ter hoogte van de Kwintebank, toen hij rond middernacht twee vijandelijke torpedoboten opmerkte. Even later werd de A-15 door hen opgemerkt. A-15 zette koers loodrecht op de kust, geflankeerd door de Franse torpedoboten Branlebas en Oriflamme. Om 0u08 openden ze allen gelijktijdig het vuur. A-15 raakte de Oriflamme, die vaart verloor. Het vuren hield niet op, en om 0u13 werden eerst het roermechanisme en roerleidingen van A-15 geraakt. De Franse torpedoboten maakten rechtsomkeert rond 0u20. In totaal werden tussen de 8 en 10 treffers geregistreerd, waardoor A-15 oncontroleerbaar was geworden en geleidelijk aan vol liep. De geheime documenten werden vernietigd en de A-15 werd verlaten. Omstreeks 0u30 verging het schip ten zuiden van de Oostendebank-westboei. 15 bemanningsleden lieten het leven.";41.6;4.6;Neen;Neen;Staal;14.9;;0.3;233.0;14/02/2025;60.0;481054   5677564;14.9;15.2;26.0;;;;;;;torpedoboot A-15;Duitsland;nvt;Keizerlijke marine, DE;;enkele brokstukken ;;Stettiner Oderwerke, Stettin, DE;#;Geborgen;WO I;23/08/1915;Torpedoboot;;;;
